Region,Gender,Handed,Favourite_physical_activity,Importance_reducing_pollution,Birth_month,Beverage,Favorite_School_Subject,Sleep_Hours_Non_Schoolnight,Paid_Work_Hours,Work_At_Home_Hours,Planned_Education_Level
VA,Male,Right-Handed,Walking/Hiking,850.0,June,Water,History,6.0,27.0,0.0,Graduate degree
VA,Male,Right-Handed,Walking/Hiking,869.0,March,Water,History,10.0,5.0,0.0,Graduate degree
VA,Female,Left-Handed,Hockey (Field),900.0,March,Water,History,9.0,0.0,2.0,Graduate degree
VA,Male,Right-Handed,Cycling,914.0,February,Juice,Computers and technology,8.0,0.0,2.0,Some college
VA,Male,Right-Handed,Soccer,1000.0,July,Juice,History,10.0,3.0,0.0,Graduate degree
VA,Male,Right-Handed,Hockey (Ice),600.0,October,Soft drink (caffeinated),Music,8.0,0.0,3.0,Graduate degree
VA,Female,Right-Handed,Dancing,492.0,April,Water,Other,8.0,20.0,20.0,Graduate degree
VA,Male,Right-Handed,Basketball,500.0,August,Water,Physical education,10.0,18.0,18.0,Graduate degree
VA,Female,Right-Handed,Other activities/sports,1000.0,April,Water,Mathematics and statistics,8.0,0.0,3.0,Graduate degree
VA,Male,Right-Handed,Football (American),872.0,October,Water,Science,11.0,0.0,0.0,Graduate degree
VA,Male,Right-Handed,Running/Jogging,600.0,March,Water,Computers and technology,8.0,15.0,15.0,Graduate degree
VA,Male,Right-Handed,Baseball/Softball,500.0,January,Water,English,7.0,2.0,2.0,Graduate degree
VA,Male,Right-Handed,Tennis,800.0,January,Water,Science,10.0,0.0,0.0,Graduate degree
VA,Male,Right-Handed,Other activities/sports,214.0,July,Soft drink (caffeinated),Music,12.0,0.0,2.0,Some college
VA,Male,Right-Handed,Soccer,1000.0,June,Juice,Mathematics and statistics,6.5,0.0,0.0,Undergraduate degree
VA,Female,Right-Handed,Walking/Hiking,1000.0,February,Water,Science,11.0,25.0,25.0,Graduate degree
VA,Male,Right-Handed,Basketball,765.0,December,Water,Physical education,9.0,0.0,0.0,Some college
VA,Male,Right-Handed,Running/Jogging,0.0,June,Water,History,10.0,0.0,0.0,Undergraduate degree
VA,Female,Left-Handed,Walking/Hiking,740.0,October,Water,History,8.0,0.0,2.0,Graduate degree
VA,Female,Right-Handed,Dancing,700.0,September,Water,English,10.0,0.0,2.0,Graduate degree
VA,Male,Right-Handed,Skateboarding/Rollerblading,200.0,October,Water,Art,8.0,0.0,0.0,Graduate degree
VA,Male,Right-Handed,Running/Jogging,1000.0,December,Water,History,8.0,15.0,15.0,Graduate degree
VA,Male,Right-Handed,Lacrosse,0.0,March,Water,Physical education,9.0,0.0,0.0,Graduate degree
VA,Male,Right-Handed,Lacrosse,300.0,April,Water,History,6.0,20.0,20.0,Graduate degree
VA,Male,Ambidextrous,Hockey (Ice),300.0,July,Water,Science,9.0,7.0,7.0,Graduate degree
VA,Male,Right-Handed,Lacrosse,500.0,March,Sports drink,History,8.0,15.0,2.0,Graduate degree
VA,Male,Left-Handed,Football (American),834.0,October,Water,Social studies,9.0,0.0,0.0,Graduate degree
VA,Male,Right-Handed,Other activities/sports,1000.0,July,Water,History,12.0,8.0,8.0,Graduate degree
VA,Female,Right-Handed,Other activities/sports,750.0,December,Soft drink (caffeinated),Music,9.5,9.0,9.0,Graduate degree
VA,Male,Right-Handed,Baseball/Softball,497.0,May,Soft drink (caffeinated),Physical education,10.0,0.0,0.0,High school
VA,Female,Left-Handed,Basketball,700.0,March,Water,Art,10.0,0.0,0.0,Graduate degree
