Region,Gender,Handed,Favourite_physical_activity,Importance_reducing_pollution,Birth_month,Beverage,Favorite_School_Subject,Sleep_Hours_Non_Schoolnight,Paid_Work_Hours,Work_At_Home_Hours,Planned_Education_Level
WA,Male,Left-Handed,Walking/Hiking,1000.0,June,Juice,Mathematics and statistics,10.0,0.0,1.0,Graduate degree
WA,Female,Right-Handed,Dancing,600.0,June,Water,Physical education,13.0,0.0,4.0,Graduate degree
WA,Female,Right-Handed,Other activities/sports,1000.0,November,Coffee,English,9.0,8.0,5.0,Some college
WA,Female,Right-Handed,Basketball,717.0,November,Water,English,9.0,0.0,2.0,Graduate degree
WA,Female,Right-Handed,Other activities/sports,900.0,January,Water,Art,8.0,6.0,2.0,Some college
WA,Male,Right-Handed,Other activities/sports,100.0,February,Water,Art,8.0,0.0,7.0,High school
WA,Male,Right-Handed,Basketball,465.0,September,Water,Physical education,10.0,0.0,2.0,Other
WA,Male,Right-Handed,Soccer,1000.0,September,Soft drink (caffeinated),Physical education,8.5,0.0,2.0,Graduate degree
WA,Male,Right-Handed,Swimming,1000.0,October,Water,Mathematics and statistics,10.0,0.0,1.0,Graduate degree
WA,Male,Right-Handed,Dancing,500.0,December,Juice,Mathematics and statistics,9.0,0.0,1.0,Some college
WA,Male,Right-Handed,Baseball/Softball,500.0,October,Water,Physical education,8.0,0.0,1.0,Graduate degree
WA,Female,Right-Handed,Basketball,717.0,January,Juice,Art,9.0,8.0,1.0,Some college
WA,Female,Right-Handed,Dancing,400.0,July,Water,Other,11.0,12.0,12.0,Other
WA,Male,Right-Handed,Basketball,2.0,May,Energy drink,Other,9.0,35.0,1.0,Graduate degree
WA,Male,Right-Handed,Basketball,1000.0,June,Water,Other,8.0,0.0,2.0,High school
WA,Male,Right-Handed,Other activities/sports,800.0,April,Soft drink (caffeinated),Art,9.0,0.0,0.0,Graduate degree
WA,Male,Left-Handed,Swimming,65.0,April,Milk,Physical education,6.0,6.0,3.0,Some college
WA,Male,Right-Handed,Skateboarding/Rollerblading,500.0,June,Other,Other,7.0,1.0,5.0,Graduate degree
WA,Female,Left-Handed,Soccer,50.0,December,Water,Art,9.0,0.0,2.0,High school
WA,Male,Right-Handed,Football (American),800.0,September,Water,Art,5.0,17.0,4.0,Other
WA,Female,Left-Handed,Skateboarding/Rollerblading,797.0,August,Water,Art,11.0,0.0,9.0,Some college
WA,Female,Right-Handed,Tennis,1000.0,November,Water,Art,10.0,0.0,3.0,High school
WA,Female,Right-Handed,Swimming,834.0,July,Water,History,10.0,20.0,4.0,Graduate degree
WA,Male,Ambidextrous,Athletics (Track & Field),1000.0,October,Energy drink,Physical education,13.0,3.0,2.5,Graduate degree
WA,Male,Right-Handed,Soccer,600.0,December,Water,Other,5.0,6.0,10.0,Other
WA,Male,Right-Handed,Soccer,214.0,July,Soft drink (non-caffeinated),Physical education,10.0,0.0,25.0,Graduate degree
WA,Male,Right-Handed,Basketball,100.0,December,Water,Computers and technology,11.0,8.0,24.0,Other
WA,Female,Right-Handed,Other activities/sports,800.0,December,Water,Art,9.0,3.0,3.0,Some college
WA,Male,Right-Handed,Baseball/Softball,476.0,March,Water,Mathematics and statistics,8.0,0.0,6.0,Other
WA,Male,Left-Handed,Other activities/sports,3.0,January,Soft drink (caffeinated),Mathematics and statistics,10.0,1.0,0.0,Other
WA,Male,Right-Handed,Skateboarding/Rollerblading,1000.0,September,Milk,Physical education,12.0,7.0,1.0,High school
WA,Male,Right-Handed,Lacrosse,1000.0,January,Milk,Physical education,7.0,15.0,5.0,Graduate degree
