"Region	Gender	Handed	Favourite_physical_activity	Importance_reducing_pollution	Birth_month	Beverage	Favorite_School_Subject	Sleep_Hours_Non_Schoolnight	Paid_Work_Hours	Work_At_Home_Hours	Planned_Education_Level"
"NY	Male	Right-Handed	Golf	999	December	Water	Physical_education	5	5	3	Graduate_degree"
"NY	Male	Right-Handed	Athletics	NA	April	Water	Science	12	NA	NA	Graduate_degree"
"NY	Male	Right-Handed	Bowling	813	October	Water	Science	9	1	3	Graduate_degree"
"NY	Female	Right-Handed	Skateboarding/Rollerblading	900	September	Juice	Mathematics_and_statistics	10	NA	4	Graduate_degree"
"NY	Female	Right-Handed	Basketball	481	NA	NA	NA	NA	NA	NA	NA"
"NY	Female	Right-Handed	Cycling	500	June	Other	Art	10	NA	2	Graduate_degree"
"NY	Male	Right-Handed	Other	1000	April	Water	Music	4	30	6	Graduate_degree"
"NY	Female	Right-Handed	Tennis	700	February	Water	Languages	7	28	19	Graduate_degree"
"NY	Female	Right-Handed	Walking/Hiking	942	October	Water	History	7	NA	2	Undergraduate_degree"
"NY	Male	Right-Handed	Soccer	999	October	Water	Geography	9	NA	2	Graduate_degree"
"NY	Male	Right-Handed	Basketball	500	NA	NA	NA	NA	NA	NA	NA"
"NY	Male	Right-Handed	NA	NA	NA	NA	NA	NA	NA	NA	NA"
"NY	Female	Right-Handed	Walking/Hiking	1000	December	Water	Mathematics_and_statistics	8	NA	NA	NA"
"NY	Female	Left-Handed	Basketball	599	February	Juice	Computers_and_technology	10	30	3	Graduate_degree"
"NY	Male	Right-Handed	NA	NA	NA	NA	NA	NA	NA	NA	NA"
"NY	Female	Right-Handed	Other	1000	July	Water	Music	7	NA	NA	NA"
"NY	Female	Right-Handed	Walking/Hiking	800	January	Water	History	8	NA	4	Graduate_degree"
"NY	Female	Right-Handed	Running/Jogging	1000	June	Energy_drink	Social_studies	NA	NA	NA	NA"
"NY	Female	Right-Handed	NA	NA	NA	NA	NA	NA	NA	NA	NA"
"NY	Male	Right-Handed	NA	NA	NA	NA	NA	NA	NA	NA	NA"
"NY	Female	Right-Handed	Dancing	497	NA	NA	NA	NA	NA	NA	NA"
