Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
"USA,VA,2014,""12        "",Male,16,Right-Handed,180,25,183,1,Bus,7,0.285,40,Basketball,1000,700,600,500,150,150,25,""Same length"",90,88,""Index finger"",March,Summer,Yes,No,Pizza/Pasta,Water,""Physical education"",8,9,5,""Yes - broadband connection"",""Internet chat or instant messaging"",0,0,4,0,8,24,7,9,5,0,14,14,0,7,""A lot"",""Graduate degree"",""Rap/Hip hop"",""Freeze time"",Happy,""Religious figure"",""International aid"""
"USA,VA,2014,""12        "",Male,17,Right-Handed,171,28,171,1,Car,10,.315,47,Soccer,700,700,850,850,400,350,27,""Right foot"",60,70,""Ring finger"",March,Summer,Yes,No,Pizza/Pasta,Water,History,7,10,4,""Yes - broadband connection"",""Text messaging"",30,30,3,1,10,1,10,1,3,5,2,1,10,1,Some,""Graduate degree"",""Rap/Hip hop"",Fly,Rich,Relative,Health"
"USA,VA,2023,""12        "",Female,17,Right-Handed,160,24,169,3,Car,7,0.559,46,Walking/Hiking,866,786,1000,781,631,904,23,""Right foot"",7.6,7.6,""Same length"",November,Spring,Yes,No,""Rice/Noodle dishes"",Water,Art,8,10,2,""Yes - other"",""In person"",90,80,5,2,7,8,1,0,0,2,12,3,0,4,Some,""Graduate degree"",Pop,Telepathy,Rich,Relative,Other"
"USA,VA,2023,""12        "",Female,17,Right-Handed,167.6,25.79,151.5,2,Car,4,0.353,43,Dancing,754,668,567,465,599,733,25.7,""Right foot"",100,140,""Ring finger"",March,Spring,No,No,Fruit,Tea,Music,6/7,8/9,2,""Yes - broadband connection"",""Text messaging"",30,40,12,4,7,12,12,0,14,6,18,9,20,4,""A lot"",""Graduate degree"",""Rhythm and blues (R&B)"",""Freeze time"",Happy,""Business person"",Health"
"USA,VA,2018,""12        "",Female,17,Right-Handed,167.6,25.4,172.1,1,Car,7,.515,51,Swimming,900,700,900,900,1000,1000,24.13,""Right foot"",75,80,""Ring finger"",October,Fall,Yes,No,Poultry,Water,Art,7,8,6,""Yes - other"",""Text messaging"",100,60,5,40,10,2,3,0,7,70,100,50,10,2,Some,""Graduate degree"",""Rap/Hip hop"",""Freeze time"",Happy,Friend,""Education/Youth development"""
"USA,VA,2014,""12        "",Male,16,Right-Handed,164,24,164,2,Car,10,.335,36,Rowing,1000,1000,100,100,100,100,26,""Left foot"",74,87,""Ring finger"",November,Winter,No,No,""No favorite"",Coffee,Art,5.5,7,5,""Yes - other"",""Text messaging"",120,120,5,2,20,15,5,0,6,8,12,8,20,12,""A lot"",Other,Other,Telepathy,Happy,Relative,""International aid"""
"USA,VA,2016,""12        "",Male,17,Right-Handed,66,320.0,66,2,Car,9,0.28,44,Basketball,0,600,800,700,400,1000,320.0,""Same length"",86.36,86.36,""Same length"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"USA,VA,2018,""11        "",Male,17,Right-Handed,183,,188,1,Car,12,,52,""Football (American)"",500,700,500,700,600,900,,,,,,October,Fall,No,No,Meat,Water,History,7,8,4,""Yes - broadband connection"",""Internet chat or instant messaging"",30,,,,,,,,,,,,,,,,,,,,"
"USA,VA,2022,""12        "",Female,17,Right-Handed,165,22,173,1,Car,7,0.466,56,Baseball/Softball,326,471,283,920,947,872,22,""Same length"",80,77,""Index finger"",August,Summer,No,No,""Rice/Noodle dishes"",,,7,9,5,""Yes - other"",""Text messaging"",70,80,20,,,,,,,,,,,,,,,,,,"
"USA,VA,2016,""12        "",Female,17,Right-Handed,,,,1,Car,8,,,Soccer,,,,,,,,,90,80,""Index finger"",June,Fall,No,No,Meat,Milk,Other,7,8,4,""Yes - broadband connection"",""Text messaging"",5,6,,,,,,,,,,,,,""A lot"",""Undergraduate degree"",Country,""Freeze time"",Happy,,Religious"
